Name,"Parent Category","Mapped To",Status
Kitchen,"Home & Garden",telecom,active
Motorcycles,Automotive,travel,active
"Bed & Bath","Home & Garden",unmapped,active
Sports,"Sports & Fitness",fashion,active
"Health Food","Health and Wellness",unmapped,active
Green,"Food & Drinks",unmapped,active
Telecommunications,,unmapped,active
"Telephone Services",Telecommunications,unmapped,active
Golf,"Sports & Fitness",unmapped,active
Professional,Education,unmapped,active
"Exercise & Health","Sports & Fitness",unmapped,active
"Sports & Fitness",,unmapped,active
Apparel,"Sports & Fitness",fashion,active
Handbags,Accessories,unmapped,active
"Tools and Supplies",Automotive,unmapped,active
Cosmetics,Beauty,unmapped,active
"Web Tools","Online Services",unmapped,active
"Virtual Malls","Department Stores/Malls",unmapped,active
Entertainment,,unmapped,active
Events,Entertainment,unmapped,active
Shoes,Accessories,unmapped,active
"Computer HW","Computer & Electronics",unmapped,active
Family,,unmapped,active
Babies,Family,unmapped,active
Videos/Movies,Books/Media,unmapped,active
"Department Stores/Malls",,unmapped,active
"Department Stores","Department Stores/Malls",unmapped,active
"Email Marketing","Online Services",unmapped,active
"Electronic Games","Games & Toys",unmapped,active
"Personal Loans","Financial Services",unmapped,active
Peripherals,"Computer & Electronics",unmapped,active
Malls,Clothing/Apparel,unmapped,active
Construction,"Home & Garden",unmapped,active
Hotel,Travel,unmapped,active
Fragrance,Beauty,unmapped,active
Rentals,Automotive,unmapped,active
"Tax Services","Financial Services",unmapped,active
"Consumer Electronics","Computer & Electronics",unmapped,active
Equipment,"Health and Wellness",unmapped,active
Garden,"Home & Garden",unmapped,active
"Web Design","Online Services",unmapped,active
Business-to-Business,Business,unmapped,active
Men's,Clothing/Apparel,unmapped,active
Car,Travel,unmapped,active
"Financial Services",,unmapped,active
"Credit Reporting and Repair","Financial Services",unmapped,active
"Productivity Tools",Business,unmapped,active
Vacation,Travel,unmapped,active
Magazines,Books/Media,unmapped,active
Business,,unmapped,active
Marketing,Business,unmapped,active
Photo,Art/Photo/Music,unmapped,active
Furniture,"Home & Garden",unmapped,active
Travel,,unmapped,active
Air,Travel,travel,active
Children,Education,unmapped,active
"Games & Toys",,unmapped,active
Toys,"Games & Toys",unmapped,active
"Weight Loss","Health and Wellness",unmapped,active
Clothing/Apparel,,fashion,active
Women's,Clothing/Apparel,unmapped,active
Beauty,,unmapped,active
"Bath & Body",Beauty,unmapped,active
Education,,unmapped,active
Languages,Education,unmapped,active
Accessories,,electricals,active
Jewelry,Accessories,unmapped,active
Wellness,"Health and Wellness",unmapped,active
"Web Hosting/Servers","Online Services",unmapped,active
"Home & Garden",,unmapped,active
Pets,"Home & Garden",unmapped,active
"Vision Care","Health and Wellness",unmapped,active
Art/Photo/Music,,hardware,active
Music,Art/Photo/Music,unmapped,active
"Nutritional Supplements","Health and Wellness",unmapped,active
"Computer & Electronics",,unmapped,active
"Computer SW","Computer & Electronics",unmapped,active
Automotive,,travel,active
"Parts & Accessories",Automotive,unmapped,active
Books/Media,,unmapped,active
Books,Books/Media,unmapped,active
"Health and Wellness",,unmapped,active
"Self Help","Health and Wellness",unmapped,active
"Online Services",,unmapped,active
"Domain Registrations","Online Services",unmapped,active
Gifts,"Gifts & Flowers",unmapped,active
"Food & Drinks",,unmapped,active
Gourmet,"Food & Drinks",unmapped,active
"Gifts & Flowers",,gifts,active
Flowers,"Gifts & Flowers",unmapped,active
