Name,slug,Network,Cashback,"Tracking Url","Store Url",Description,"Terms & Conditions","Extra Info",Status
Plantronics,CJ,,NA,#,https://www.poly.com/us/en,,,,1
"Voidu B.V.",CJ,,5.00%,https://www.dpbolvw.net/click-100179843-13385047-1599215397000,https://www.voidu.com/en/,,,,1
"Butikovo / Butikmoda",CJ,,10.00%,https://www.anrdoezrs.net/click-100179843-13155928-1527069814000,http://butikovo.cz,,,,1
Fanatical,CJ,,5.00%,https://www.dpbolvw.net/click-100179843-14099377-1595499855000,https://www.fanatical.com,,,,1
Bcdkey.com,CJ,,3.00%,https://www.kqzyfj.com/click-100179843-14432850-1614750099000,https://www.bcdkey.com/,,,,1
"RS Components Ltd- UK",CJ,,5.00%,https://www.tkqlhce.com/click-100179843-13611587-1568370073000,http://www.rs-components.com,,,,1
"RDX Sports",CJ,,10.00%,https://www.kqzyfj.com/click-100179843-13176717-1536579109000,https://rdxsports.co.uk/,,,,1
"Parfumdreams Global",CJ,,3.00%,https://www.jdoqocy.com/click-100179843-14317793-1599118703000,http://www.parfumdreams.com,,,,1
"Buckle&Seam INT",CJ,,15.00%,https://www.kqzyfj.com/click-100179843-13222307-1614071247000,http://buckleandseam.com,,,,1
"My Social Book",CJ,,10.00%,https://www.jdoqocy.com/click-100179843-12966174-1612209734000,https://www.mysocialbook.com/,,,,1
Aaptiv,CJ,,"USD 30.00",https://www.tkqlhce.com/click-100179843-13984051-1591889122000,https://aaptiv.com,,,,1
"Oxford Biolabs",CJ,,10.00%,https://www.anrdoezrs.net/click-100179843-14342563-1602049532000,https://www.oxfordbiolabs.com,,,,1
CAVIALLO.EU,CJ,,10.00%,https://www.anrdoezrs.net/click-100179843-12965995-1527160230000,http://www.caviallo.eu,,,,1
"D-SPORT.CZ & DSPORT.SK",CJ,,13.00%,https://www.dpbolvw.net/click-100179843-13320418-1537281370000,https://www.d-sport.cz,,,,1
"Raffaello Network",CJ,,NA,#,http://www.rafnet.com/home,,,,1
Sobelia,CJ,,3.00%,https://www.tkqlhce.com/click-100179843-14038051-1588108348000,https://www.sobelia.com/,,,,1
BABICKARSTVO.SK,CJ,,3.00%,https://www.anrdoezrs.net/click-100179843-14034122-1587633490000,http://www.babickarstvo.sk/,,,,1
NordVPN,CJ,,40.00%,https://www.kqzyfj.com/click-100179843-14482597-1615822449000,https://NordVPN.com,,,,1
Dia&Co,CJ,,3.00%,https://www.anrdoezrs.net/click-100179843-13807145-1612969590000,https://www.dia.com,,,,1
SVMoscow,CJ,,14.00%,https://www.tkqlhce.com/click-100179843-13778360-1615976100000,https://svmoscow.com/,,,,1
